43.31839,-1.98127,5.7,0,
43.31821,-1.98169,6.2,0.039,
43.31876,-1.98207,6,0.108,
43.31887,-1.98214,6,0.121,
43.31936,-1.98249,6.1,0.183,
43.31939,-1.98252,6.1,0.187,
43.31945,-1.98256,6.1,0.195,0
43.31917,-1.9833,6.3,0.262,0
43.31903,-1.98365,6.3,0.294,0
43.31887,-1.98414,6.5,0.338,0
43.31885,-1.98413,6.5,0.34,0
43.31882,-1.98411,6.6,0.344,0
43.3188,-1.9841,6.6,0.346,0
43.31866,-1.98399,6.6,0.364,0
43.31851,-1.98389,6.7,0.383,0
43.3185,-1.98388,6.7,0.384,0
43.31817,-1.98365,7,0.425,1
43.31812,-1.98362,6.9,0.432,0
43.31765,-1.98327,7,0.491,0
43.31712,-1.98288,6.8,0.558,0
43.31694,-1.98276,6.7,0.58,0
43.31664,-1.98255,6.6,0.618,0
43.31656,-1.9825,6.6,0.627,0
43.3165,-1.98245,6.6,0.635,0
43.316,-1.98211,6.5,0.697,0
43.3157,-1.98189,6.3,0.735,0
43.31561,-1.98182,6.3,0.747,0
43.31526,-1.98158,6.3,0.79,0
43.31516,-1.98151,6.2,0.803,0
43.31449,-1.98103,5.8,0.887,0
43.3144,-1.98096,5.8,0.898,0
43.31372,-1.9805,5.5,0.983,0
43.3137,-1.98048,5.5,0.986,0
43.31336,-1.98028,5.3,1.027,0
43.31323,-1.98028,5.3,1.041,0
43.31279,-1.98035,5.3,1.09,0
43.31273,-1.98036,5.3,1.097,0
43.31256,-1.98037,5.4,1.116,0
43.31244,-1.98039,5.5,1.13,0
43.31234,-1.98041,5.4,1.141,0
43.31221,-1.98042,5.4,1.155,0
43.31208,-1.98043,5.4,1.17,0
43.31191,-1.98043,5.4,1.189,0
43.31181,-1.98044,5.4,1.2,0
43.31168,-1.98043,5.4,1.214,0
43.31163,-1.98043,5.5,1.22,0
43.31153,-1.98041,5.5,1.231,0
43.31147,-1.9804,5.4,1.238,0
43.31143,-1.98039,5.4,1.242,0
43.31136,-1.98038,5.4,1.25,0
43.31124,-1.98037,5.3,1.264,0
43.310565,-1.9802,5.2,1.34,0
43.30989,-1.98003,5.3,1.416,0
43.30917,-1.97991,5.3,1.497,0
43.30892,-1.97988,5.3,1.525,0
43.30844,-1.97978,5.2,1.579,0
43.30792,-1.97966,5.2,1.638,0
43.30788,-1.97965,5.1,1.642,0
43.30765,-1.97967,5.2,1.668,0
43.30749,-1.97964,5.3,1.686,0
43.30747,-1.97967,5.2,1.689,0
43.30745,-1.9797,5.2,1.693,0
43.30744,-1.97972,5.3,1.695,0
